,0
Althaf Shoes Private Limited,4100000
K R Pulp And Papers Limited,4100000
Elin Electronics Ltd.,4100000
Koshambh Multitred Pvt Ltd,4100000
Molecular Connections Private Limited,4100000
Sears It & Management Services India Private Limited,4100000
Inox Leasing And Finance Limited,4100000
Synergia Life Sciences Private Limited,4000000
Metroglobal Limited,4000000
Fluor Daniel India Private Limited,4000000
Theni Guru Krishna Textile Mills Private  Limited,4000000
Kanpur Plastipack Limited,4000000
Oriental Containers Limited,4000000
Manali Petrochemicals Limited,4000000
Ravindra Heraeus Private Limited,4000000
City Corporation Limited,4000000
Chemetall India Private Limited,4000000
Baramati Cattlefeeds Pvt Ltd,4000000
Tourism Finance Corporation Of India Limited,3900000
Spaco Technologies (India) Private Limited,3900000
Tata Aia Life Insurance Company Limited,3900000
Kei Industries Limited,3900000
Ador Welding Limited,3900000
Ipm Commodities Private Limited,3900000
Si Investments And Broking Private Limited,3900000
Fragomen Immigration Services India Private Limited,3900000
Rishabh Instruments Pvt Ltd,3900000
Motorola Solutions India Private Limited,3900000
Ems Infracon Private Limited,3900000
Sankei Giken India Private Limited,3900000
Advik Hi-Tech Private Limited,3900000
Adidas India Marketing Private Limited,3900000
Hdfc Holdings Limited,3800000
J K Investors(Bombay) Limited,3800000
Narmada Gelatines Limited,3800000
Star Chemicals (Bombay) Private Limited,3800000
Neelammegha Investment And Trading Co Pvt Ltd,3800000
Advanced Enzyme Technologies Limited,3800000
Ashok Matches And Timber Industries Private Limited,3700000
Haldia Energy Limited,3700000
Dcm Shriram Industries Limited,3700000
Kumar Organic Products Limited,3700000
Lakshmi Ring Travellers (Coimbatore) Limited,3700000
Schindler India Private Limited,3700000
Menon Bearings Limited,3700000
Delta Power Solutions India Private Limited,3700000
Veer Plastics Private Limited,3700000
Khajrana Ganesh Properties Private Limited,3700000
Shakun Polymers Limited,3700000
Latent View Analytics Private Limited,3700000
Arvind Smartspaces Limited,3700000
Poddar Pigments Limited,3600000
Baroda Industries Private Limited,3600000
S M L Finance Limited,3600000
Radisys India Private Limited,3600000
Sree Rayalaseema Hi-Strength Hypo Limited,3600000
Shairu Gems Diamonds Private Limited,3600000
Ongc Tripura Power Company Limited,3600000
Polybond (India) Pvt Ltd,3600000
Hdfc Credila Financial Services Private Limited,3600000
Hardcastle Petrofer Private Limited,3600000
Eisai Pharmaceuticals India Private Limited,3600000
Kanam Latex Industries Pvt Ltd,3600000
Nec Technologies India Private Limited,3600000
Amore Jewels Private Limited,3600000
Edifecs Technologies Private Limited,3500000
Geojit Technologies Private Limited,3500000
Rothe Erde India Private Limited,3500000
The South Indian Bank Limited,3500000
Aparna Enterprises Limited,3500000
Tropical Agro System (India) Private Limited,3500000
D. E. Shaw India Private Limited,3500000
Lona Industries Limited,3500000
International Biotech Park Limited,3500000
Centex International Private Limited,3500000
Mazda Limited,3500000
Parikh Enterprises Private Limited,3500000
Mountain Valley Springs India Private Limited,3500000
Endemol India Private Limited,3500000
Zs Associates India Private Limited,3500000
Harita Fehrer Limited,3500000
Tieto India Private Limited,3500000
Rgvn (North East) Microfinance Limited,3500000
Nitin Spinners Limited,3500000
L&T; Finance Holdings Limited,3500000
Fm Pbw Bearings Private Limited,3400000
Orix Leasing & Financial Services India Limited,3400000
Tim Delhi Airport Advertising Private Limited,3400000
J. M. Huber India Private Limited,3400000
Msl Driveline Systems Limited,3400000
Globallogic Technologies Limited,3400000
Bma Stainless Limited,3400000
Pressman Advertising Limited,3400000
Fleetguard Filters Private Limited,3400000
Emami Paper Mills Limited,3400000
Muthoot Capital Services Limited,3400000
Newgen Software Technologies Limited,3400000
K Patel Chemo-Pharma Private Limited,3400000
Overseas Polymers Private Limited,3400000
Netafim Irrigation India Private Limited,3300000
Premium Transmission Limited,3300000
Danfoss Power Solutions India Private Limited,3300000
Play Games24X7 Private Limited,3300000
Pennar Industries Limited,3300000
Roots Industries India Limited,3300000
Dhanuka Agritech Limited,3300000
Ansys Software Private Limited,3300000
Sarna Chemicals Private Limited,3200000
Jaideep Ispat And Alloys Private Limited,3200000
Vivimed Labs Limited,3200000
Easyaccess Financial Services Limited,3200000
Synechron Technologies Private Limited,3200000
Plasser (India) Private Limited,3200000
Kosamattam Finance Limited,3200000
Maini Precision Products Limited,3200000
India Index Services And Products Limited,3200000
Goyal Proteins Limited,3200000
Lakshmi Cargo Company Limited,3200000
Yesha Electricals Private Limited,3200000
Shree Ajit Pulp And Paper Limited,3200000
Bridge & Roof Co (India) Ltd,3200000
Fedbank Financial Services Limited,3200000
Bobst India Private Limited,3200000
Nsk India Sales Company Private Limited,3200000
Rational Art And Press Private Limited,3200000
Aksharchem (India ) Limited,3100000
Hamilton & Company Limited,3100000
The National Small Industries Corporation Limited,3100000
Idfc Limited,3100000
Tarsons Products Pvtltd,3100000
