,0
Bageecha Glades Private Limited,1800000
R C Sood And Co Private Ltd,1800000
Nelson Global Products India Private Limited,1800000
Hal Offshore Limited,1797629
Universal Medicap Limited,1776001
Tcpl Packaging Limited,1775000
Narmada Gelatines Limited,1772000
Menon Bearings Limited,1765000
German Remedies Limited,1760000
Parker Bullion Private Limited,1751000
Slk Software Services Private Limited,1750000
Lkp Finance Limited,1750000
Sujana Universal Industries Limited,1750000
Kaynes Technology India Private Limited,1744064
Polyplastics Industries (India) Private Limited.....,1744000
Onkar Infotech Private Limited,1740000
Avanti Institute Of Cardiology Pvt Ltd,1731429
Om Telecom Logistics Private Limited,1725000
Tsr Darashaw Limited,1720400
Hcl Technologies Limited,1710000
Baazar Retail Limited,1707200
Aarti International Limited,1705801
Karnataka Antibiotics And Pharmaceuticals Limited,1705000
I P Support Services (India) Pvt Ltd,1700000
Amrutanjan Health Care Limited,1700000
Marion Biotech Private Limited,1700000
Chowgule Industries Private Limited,1700000
Addison & Co. Limited,1700000
Nitco Logistics Private Limited,1695710
Saj Food Products Private Limited,1694000
Visakha Container Terminal Private Limited,1693996
Nirmal Seeds Private Limited,1693689
Mindteck (India) Limited,1690000
Welspun Solar Ap Private Limited,1684325
Ghatge Patil Industries Limited,1682107
Rohan Builders (India) Private Limited,1677793
C.P.Aquaculture (India) Private Limited,1675998
Stellar Information Technology Private Limited,1675000
Ambuthirtha Power Private Limited,1675000
Koshambh Multitred Pvt Ltd,1663000
Pai International Electronics Limited,1661546
J. K. Cement Limited.,1651657
Sanspareils Greenlands Private Limited,1642335
Manglam Build-Developers Limited,1640000
Corning Technologies India Private Limited,1628468
Polydrug Laboratories Private Limited,1625000
Jubilant Foodworks Limited,1622000
Amara Raja Infra Private Limited,1620000
Fortune Park Hotels Limited,1618000
Sri Narasus Coffee Company Private Limited,1600000
Ajay Industrial Corporation Limited.,1600000
Pan Parag India Limited,1600000
Dsl Hydrowatt Limited,1600000
Shivsagar Bidi Works Pvt Ltd,1600000
Baba Global Limited.,1600000
Alco Company Private Limited,1600000
Endurance Technologies Private Limited (Cn),1600000
Fdc Limited,1595000
Garden Silk Mills Limited,1583000
Orient Refractories Limited,1572000
Byramjee Jeejeebhoy Private Limited,1571800
The West Coast Paper Mills Limited,1571789
The United Nilgiri Tea Estates Company Limited,1568000
Tourism Finance Corporation Of India Limited,1563500
Citec Engineering India Private Limited,1557120
Metroglobal Limited,1556000
Great Eastern Energy Corporation Limited,1551004
Rdb Realty & Infrastructure Limited,1551000
Vardhan Ltd.,1550000
Linc Pen & Plastics Ltd,1550000
Qed Agro Systems Private Limited,1542001
Sarat Chatterjee & Co (Visakhapatnam) Pvt Ltd,1541832
Keerthi Estates Private Limited,1535606
Agm India Advisors Private Limited,1530000
Tata Power Trading Company Limited,1525000
Mahindra Logistics Limited,1521000
Binaguri Tea Co Pvt Ltd,1520000
Savera Industries Limited,1515000
Electronics Corporation Of Tamilnadu Limited,1512000
Panasonic Energy India Company Limited,1505000
Avt Natural Products Limited,1500513
Bunge India Private Limited,1500030
Legris India Private Limited,1500000
Asian Hotels (North) Limited,1500000
Iquest Enterprises Private Limited,1500000
Csl Finance Limited,1500000
Tropical Agro System (India) Private Limited,1500000
Maharashtra Eastern Grid Power Transmission Company Limited,1500000
Mangalam Fashions Limited,1500000
Dfm Foods Limited,1500000
Vindhya Telelinks Limited,1500000
Slk Global Bpo Services Private Limited,1500000
Ozone Overseas Private Limited,1500000
Rolta India Limited,1500000
Minex Metallurgical Company Limited,1500000
George Oakes Limited,1500000
Nerul Impex Private Limited,1500000
J K Technosoft Limited,1500000
Centaur Pharmaceuticals Private Limited,1500000
Genus Innovation Limited,1500000
Desons Holdings And Finance Pvt Ltd,1500000
Star Chemicals (Bombay) Private Limited,1500000
Aarti Steels Limited,1500000
Jsw Holdings Limited,1496069
Doosan Power Systems India Private Limited,1490664
Jay Jay Mills India Private Limited,1490000
Cargill Global Trading India Private Limited,1482243
Naroda Enviro Projects Limited,1481792
Essar Bulk Terminal (Salaya) Limited,1475000
Nile Limited,1463750
Chang Yun India Private Limited,1460000
Vandana Global Limited,1457250
Standard Treads Pvt Ltd,1454500
Gupta H.C. Overseas (I) Private Limited,1453957
Unique Estates Development Company Limited,1450000
Sai Service Private Limited,1450000
Ifci Infrastructure Development Limited,1444265
A L M Industries Limited,1443450
Apcotex Industries Limited,1443000
Gujarat Intrux Limited,1431840
Carclo Technical Plastics Private Limited,1428000
Thakurdevi Investnents Pvt Ltd,1425000
Elgi Ultra Industries Limited,1415000
Standard Radiators Private Limited,1406000
Kf Bioplants Private Limited,1400000
VAISHNO DEVI DAIRY PRODUCTS LIMITED,1400000
Sds Ramcides Cropscience Private Limited,1400000
Herbal Isolates Pvt Ltd,1400000
Mk Profinlease Private Limited,1400000
Milan Laboratories (India) Private Limited,1400000
Ariba Technologies India Private Limited,1396800
Ptc Industries Limited,1388600
Kesar Terminals & Infrastructure Limited,1387000
Sungard Solutions (India) Private Limited,1386289
Madhu Silica Private Limited,1383000
Apax Partners India Advisers Private Limited,1374444
Prolifics Corporation Limited,1373000
Chemfab Alkalis Limited,1368765
Etisalat Software Solutions Private Limited,1362937
Nrb Bearings Limited (Full Fledged Public Co),1350000
Megawin Switchgear Private Limited,1350000
Nyk Auto Logistics (India) Private Limited,1350000
Hyundai Motor India Engineering Private Limited,1345000
Calsoft Private Limited,1337999
Halliburton Technology India Private Limited,1337184
Prashant Castech Private Limited,1328250
Tvs Dynamic Global Freight Services Limited,1328000
Shri Gurudatt Sugars Limited,1309300
Khandwala Enterprise Private Limited,1300000
Pix Transmissions Ltd,1300000
Talentica Software (India) Pvt Ltd,1300000
Marketopper Securities Private Limited,1300000
Metrohm India Limited,1300000
Saraogi Udyog Private Limited,1297000
Temasek Holdings Advisors India Private Limited,1287863
Shree Ajit Pulp And Paper Limited,1287000
Poona Shims Pvt Ltd,1286267
Greenpark Hotels And Resorts Limited,1283000
Marwah Steels Private Limited,1276900
National Energy Trading And Services Limited,1275000
Rajkamal Builders Infrastructure Private Limited,1272949
Ametek Instruments India Private Limited,1260000
Cma Cgm Logistics Park (Dadri) Private Limited,1258000
C M Jain Impex And Investments Private Limited,1250565
Gadre Marine Export Pvt Ltd,1250327
Arthanari Loom Centre Textile Private Limited,1250000
J M Financial Investment Managers Limited,1250000
Ericsson India Private Limited,1250000
Tynor Orthotics Private Limited,1244404
S R C Aviation Private Limited,1236395
A.B. Grain Spirits Private Limited,1236152
Rhi Clasil Private Limited,1231450
Knr Constructions Limited,1231000
Deepak Fertilisers And Petrochemicals Corporation,1231000
Mac Charles (India) Limited,1230000
Secure Meters Limited,1220003
Gati Limited,1220000
Indoco Remedies Limited,1206474
Manpasand Beverages Limited,1205000
Cooper Corporation Private Limited,1202787
Grace Davison Chemicals India Private Limited,1200000
Thermax Engineering Construction Company Limited,1200000
Dabwali Transport Company Limited,1200000
Mahima Real Estate Private Limited,1200000
Siara Engineering Private Limited,1200000
Htc Holdings Private Limited,1200000
R P Basmati Rice Limited,1200000
Statestreet Hcl Services (India) Private  Limited,1200000
Axiscades Engineering Technologies Limited,1200000
Obeetee Private Limited,1200000
P S Atree And Co Private Limited,1200000
Base Educational Services Private Limited,1200000
Ims Health Technology Solutions India Private Limited,1200000
Tata Asset Management Limited,1200000
Meso Private Limited,1197198
Lumax Dk Auto Industries Limited,1195000
K Patel Chemo-Pharma Private Limited,1193000
Kifs Securities Private Limited,1192000
Rajoo Engineers Limited,1191412
Bae Systems India (Services) Private Limited,1190424
Oc Specialities Private Limited,1179851
Kals Distilleries Private Limited,1179000
Verisign Services India Private Limited,1178286
Dharam Pal Prem Chand Ltd,1176185
Beam Global Spirits & Wine (India) Private Limited,1173000
Best Foods Limited,1168000
Ratilal Bhagwandas Construction Company P Ltd,1162100
Acrysil Limited,1161825
Sling Media Private Limited,1160000
Anika International Private Limited,1159000
Indian Machine Tool Manufacturers Association,1155826
Mrc Transolutions Private Limited,1155000
Jagruti Sugar & Allied Industries Limited,1154010
Music Broadcast Limited,1154000
Srinivasa Hatcheries Limited,1150000
O E N India Ltd,1149000
Murudeshwar Power Corporation Limited,1145000
Kakatiya Cement Sugar And Industries Limited,1143000
Mphasis Limited,1140000
Matrix Comsec Private Limited,1136425
Gujarat Credo Mineral Industries Limited,1135000
Grasim Bhiwani Textiles Limited,1135000
Hitesh Plastics Private Limited,1134735
Mashobra Resort Limited,1133832
West Bengal Industrial Development Corpn  Ltd,1132000
Microsoft Research Lab India Private Limited,1128300
Vadinar Oil Terminal Limited,1124000
Chowgule And Company (Salt) Private Limited,1118000
Lancor Holdings Limited,1116275
Crest Premedia Solutions Private Limited,1115000
Montecarlo Limited,1111000
Asian Hotels (West) Limited,1110000
The Cotton Corporation Of India Limited,1109868
Mukesh Babu Financial Services Limited,1107000
Seyad Home Industries Private Limited,1107000
Shri Ashutosh Structures Private Limited,1100000
Tata Trustee Company Limited,1100000
Indo Farm Equipment Limited,1100000
Louisiana Investment & Finance Private Limited,1100000
Cheviot International Limited,1100000
Pentel Stationery (India) Private Limited,1100000
Epc Industrie Limited,1099980
Merino Industries Limited,1094000
Hitachi Hi-Rel Power Electronics Private Limited,1090000
V Star Creations Private Limited,1089939
Srikalahasthi Pipes Limited,1086273
Reddy Structures Private Limited,1084283
A R B Bearings Limited,1084000
Shweta Infrastructure And Housing (India) Private Limited,1083048
Michell Bearings (India) Private Limited,1076079
Vlcc Personal Care Limited,1069389
Chirag Assocaites Private Limited,1064000
Veer Overseas Limited,1063650
Vippy Industries Limited,1057046
Sahyadri Industries Limited.,1057000
Vardhman Industries Limited,1055450
Vision Sponge Iron Private Limited,1050597
Shri Shakti Schools Pvt Ltd.,1050000
Freewill Sports Private Limited,1050000
Dresser Valve India Private Limited,1046205
Banswara Syntex Ltd,1038000
Hurix Systems Private Limited,1025000
Ingenero Technologies (India) Private Limited,1024000
Pudumjee Pulp And Paper Mills Limited,1020000
Tuv India P Ltd,1018000
Ford Motor Private Limited,1014500
Enpro Industries Private Limited,1011000
Bmd Private Limited,1010000
Jekay International Track Pvt. Ltd.,1010000
Solvay Specialities India Private Limited,1010000
Infosoft Global Private Limited,1005000
Concordia International (India) Services Private Limited,1003302
Shoft Shipyard Private Limited,1003000
C L Gupta Exports Limited,1000220
Deccan Mechanical And Chemical Industries Private Limited,1000000
Dipco Estates Private Limited,1000000
Better Value Holdings Private Limited,1000000
Gulf Oil Lubricants India Limited,1000000
Sakal Papers Private Limited,1000000
Supriya Lifescience Limited,1000000
Vf Brands India Private Limited,1000000
D B Engineering Private Ltd,1000000
Menon Pistons Limited,1000000
Pruksa India Housing Private Limited,1000000
Mahalakshmi Infraprojects Limited,1000000
Dsp Blackrock Investment Managers Private Limited,1000000
Elegant Marbles And Grani Industries Limited,1000000
Super Sales India Limited,1000000
Talbros Automotive Components Limited,1000000
Renaissance Asset Management Company Private Limited,1000000
Extreme Networks India Private Limited,1000000
Shingora Textiles Limited,1000000
Saptagir Camphor Limited,1000000
Talbros International Limited,1000000
Sanand Properties Private Limited,1000000
Joonktollee Tea & Industries Ltd.,997000
Ceb India Private Limited,996410
Mitsubishi Hitachi Power Systems India Private Limited,993916
Elantas Beck India Limited,993000
Microland Limited,985000
Ncc Limited,970000
Assystem Technologies India Private Limited,968000
Avantel Limited,963519
Kanoria Chemicals & Industries Ltd,960000
Raheja Universal (Pvt) Limited,960000
Braithwaite & Co Ltd,958000
Minda Sai Limited,956000
Autonomy Software Asia Private Limited,955054
Inani Marbles And Industries Ltd.,953000
R.V. Investment And Dealers Ltd,950500
Unicorn Natural Products Limited,950000
Fluidomat Limited,950000
Esab India Limited,948000
Shreyans Industries Limited,948000
Coface India Credit Management Services Private Limited,945000
Ambuja Intermediates Limited,938311
Bothra Shipping Services Private Limited,936124
Yesha Electricals Private Limited,935000
Shriram City Union Finance Limited,932543
Geometric Limited,932326
Fluor Daniel India Private Limited,925258
Harbinger Systems Private Limited,925000
Kotak Mahindra Investments Limited,922000
Bannari Amman Spinning Mills Limited,919848
Srinivasa Farms Private Limited,907000
Bss Microfinance Private Limited,902000
The Printers (Mysore) Private Limited,900589
M Pallonji Shipping Pvt Ltd,900178
Ags Transact Technologies Limited,900000
Pioneer Urban Land & Infrastructure Limited,899022
Hindustan Colas Private Limited,888402
Tractebel Engineering Private Limited,885838
Hll Lifecare Limited,880000
Hirotec India Private Limited,877500
Cybele Industries Limited,876000
General Industrial Controls Pvt Ltd,876000
Bhandari Automobiles Private Limited,872900
Hikal Limited,870000
Enam Asset Management Company Private Lmited,865690
Organic India Private Limited,864635
Standard Greases And Specialities Private Limited,863179
Clean Science And Technology Private Limited,861000
Sodium Metal Pvt Ltd,860000
Sundaram Dynacast Private Limited,860000
Hemani Chemiorganic Private Limited,850000
Jet Age Securities Pvt Ltd,840000
Geoenpro Petroleum Limited,840000
Indapur Dairy And Milk Products Limited,839014
Lease Plan India Private Limited,834928
Greenply Industries Ltd,828000
Ava Cholayil Health Care Private Limited,825000
Mastercard Mobile Transactions Solutions Private Limited,820950
Aspinwall And Company Limited,820000
Jai India Weaving Mills Private Limited,817331
Crossdomain Solutions Private Limited,816709
Vacmet India Limited,816377
Tranquil Realty Private Limited,814797
Ifb Agro Industries Ltd.,805000
Golkunda Diamonds And Jewellery Limited,805000
Brightstar Infrastructure Private Limited,802624
Futura Bioplants Private Limited,802550
Suraj Limited,800750
Axiscades Aerospace & Technologies Private Limited,800000
Rohit Iron And Steel (India) Private Limited,800000
Quest Global Engineering Private Limited,800000
United Decoratives Pvt Ltd,800000
Ralson (India) Limited,800000
Anant Commodities Private Limited,800000
Kirtivardhan Finvest Services Limited,800000
Freight Connection India Private Limited,800000
Semikron Electronics Private Limited,800000
Weir Minerals (India) Private Limited.,798860
Software Paradigms Infotech Private Limited,795825
Satia Industries Limited,792000
Biochemical And Synthetic Products Private Limited,791000
Axis Electrical Components (India) Private Limited,790347
J.S.Four Wheel Motors Private Limited,789225
Shubham Goldiee Masale Private Limited,784133
Shivam Autotech Limited,783000
Span India Pvt Ltd,780750
Rehabilitation Plantations Limited,780000
Rsm Autokast Limited,776000
Sree Akkamamba Textiles Ltd,767587
Fena Private Limited,766000
Pennar Engineered Building Systems Limited,760000
Tgb Banquets And Hotels Limited,758000
Minda Industries Limited,752000
Anik Industries Limited,751000
Premier Evolvics Private Limited,750000
Premier Mills Private Limited,750000
Grand Royale Enterprises Limited,750000
Kennametal Shared Services Private Limited,750000
Altair Engineering India Private Limited,750000
Jet Age Finance Pvt. Ltd.,750000
Nanded City Development And Construction Company Limited,750000
Lanxess India Private Limited,750000
Agni Steels Private Limited,749051
Sarda Energy & Minerals Limited,747000
Antares Systems Limited,744219
Pnb Housing Finance Limited,741606
Satin Creditcare Network Limited,739519
Man Industries (India) Limited,739000
Ifci Venture Capital Funds Limited,735705
Trianz Holdings Private Limited,730000
Lanco Thermal Power Limited,730000
Sonus Networks India Private Limited,723368
Tamilnadu Magnesite Limited,721722
Bajaj Motors Limited,720851
Signode India Limited,718000
Bmr Business Solutions Private Limited,715300
Vadamalayan Hospitals Private Limited.,714000
Allscripts (India) Private Limited,712732
Tirupati Sarjan Limited,712547
Gaursons India Limited,710772
Ramkrishy Infrastructure Private Limited,710533
Tata Ficosa Automotive Systems Private Limited,710000
Nidec Industrial Automation India Private Limited,708231
Maharashtra Enviro Power Limited,705901
Ashida Electronics Private Limited,705504
Sai Life Sciences Limited,702100
Avalokiteshvar Valinv Limited,700000
Tata Value Homes Limited,700000
Avinash Developers Private Limited,700000
Dte Exports Pvt Ltd,700000
Archies Limited,700000
Garware Industriees Limited,700000
Pon Pure Chemical India Private Limited,700000
Manugraph India Limited,700000
Gloster Limited,700000
Mitsu Private Limited,700000
Mixon Holdings Private Limited,700000
Stock Holding Corporation Of India Limited,700000
Aries Organics Private Limited,700000
Tata Motors Finance Limited,700000
Shasun Pharmaceuticals Limited,700000
Honour Lab Limited,696289
Tata Motors Insurance Broking And Advisory Services Limited,696117
Gina Engineering Company Private Limited,692942
Indian Sugar Exim Corporation Ltd.,681412
Integral Biosciences Private Limited,675000
Impetus Infotech (India) Private Limited,671000
Saint-Gobain Sekurit India Limited,665000
Mysore Paints And Varnish Limited,664778
Hindusthan Urban Infrastructure Limited,663000
Virchow Biotech Private Limited,661500
Ciena Communications India Private Limited,659017
Vardhman Pharma Distributors Private Limited,658000
Dalmia Cement East Limited,657404
Johnson Controls Automotive Limited,650000
Nazareth Foods Private Limited,647000
Vishnu Chemicals Limited,646526
Biltech Building Elements Limited,646060
Sagar Cements Ltd,636575
Inspiron Engineering Private Limited,636000
Acg Pampac Machines Private Limited,635640
Tvs Upasana Limited,635000
Paradeep Phosphates Ltd,632000
Ganesha Ecosphere Limited,632000
Vishnu Prakash R Punglia Limited,628900
Indo Count Industries Limited,627314
Nj Indiainvest Private Limited,625000
Beehive Communications Private Limited,625000
M.P. Agrotonics Limited,620000
L&T; Construction Equipment Limited,618000
Aparna Enterprises Limited,615000
Indian Railway Catering And Tourism Corporation Limited,613794
Megger (India) Private Limited,610000
3D Plm Software Solutions Limited,608750
Qburst Technologies Private Limited,602398
Omron Automotive Components India Private Limited.,600000
L&T; Hydrocarbon Engineering Limited,600000
Overseas Polymers Private Limited,600000
Af-Taab Investment Company Limited,600000
Angel Commodities Broking Pvt Ltd,600000
Rj Corp Limited,600000
Bachhraj Factories Private Limited,600000
Altico Capital India Private Limited,600000
Stci Finance Limited,600000
Fiem Industries Limited,600000
Medall Healthcare Private Limited,600000
Axis Bank Limited,600000
Flow Link Systems Private Limited,600000
Kpmg Resource Centre Private Limited,597000
Green Infra Btv Limited,592459
Komatsu India Private Limited,590991
Emerson Process Management Power And Water Solutions India Private Limited,585000
Bechtel India Private Limited,584640
Great Galleon Ventures Limited,584000
Spectra Products Private Limited,580000
Trissur Sand And Gravel Pvt Ltd,578300
Asm Technologies Limited,576000
Sankhla Vinyl Private Limited,575989
E I Dupont India Private Limited,575620
Transport Corporation Of India Limited,575436
Kotak Mahindra Prime Limited,574200
Tata Sponge Iron Limited,572000
Tokyo Plast International Ltd,572000
Vlcc Health Care Limited,570000
Kakinada Seaports Limited,565910
Hero Corporate Service Private Limited,554000
Hindustan Tin Works Limited,550000
Stelco Limited,550000
Imi Mobile Private Limited,550000
Regency Nirman Limited,550000
Sree Narasimha Textiles Private Limited,550000
Igopl Offshore Private Limited,540000
Sharda Cropchem Limited,535000
Godrej Properties Limited,525000
Bmw Industries Limited,525000
Mspl Limited,522522
Aditi Technologies Private Limited,522000
Real Technical Solutions Private Limited,521448
Flometallic India Private Limited,520000
Acg Pharmapack Private Limited,520000
Gujarat Automotive Gears Limited,510560
Sanmina-Sci India Private Limited,510034
Roots Multi Clean Limited,503336
H-One India Private Limited,500000
Rsm Builders & Securities Private Limited,500000
Adventz Finance Private Limited,500000
Birla Ericsson Optical Limited,500000
Evry India Private Limited,500000
Intense Technologies Limited,500000
Lgc Promochem India Private Limited,500000
Iic Technologies Limited,500000
Vijaynagar Bio-Tech Private Limited,500000
Dhampur Sugar Mills Limited,500000
Agson Global Private Limited,500000
Danieli Corus India Private Limited,500000
Talbros Engineering Limited,500000
Pudhari Publications Private Limited,500000
Spinco Biotech Private Limited,500000
Spincotech Private Limited,500000
Sonic Biochem Extractions Limited,500000
Rangoli Portfolio Private Limited,500000
Simpson And Company Limited,500000
Indian Potash Limited,500000
Tafe Access Limited,500000
Ampa Housing Development Private Limited,500000
Allcargo Logistics Limited,500000
Tieto It Services India Private Limited,500000
Saama Technologies (India) Private Limited,500000
Vmt Spinning Company Limited,500000
Allied Blenders And Distillers Private Limited,500000
Viswaat Chemicals Limited,500000
Dosti Land Developers Pvt Ltd,500000
Altitude Investments Private Limited,500000
Mtl Instruments Private Limited,494960
Bhimrajka Impex Limited,486000
Kumar Organic Products Limited,483000
Rohini Minerals Private Limited,480000
Igarashi Motors India Limited,480000
Gravita India Limited,479194
Arvindbhai Bechardas Jewellers Private Limited,475211
Hinduja Global Solutions Limited,475000
Ludhiana Beverages Private Limited,468000
Sbi Macquarie Infrastructure Management Private Limited,462600
Magma Fincorp Limited,461000
Adhunik Industries Limited,451000
Meenakshi Narayanan Investments Private Limited,450000
Apurva Natvar Parikh & Co Private Limited,450000
Rohm And Haas (India) Private Limited,450000
Utstarcom India Telecom Private Limited,450000
Posh Chemicals Private Limited,450000
Maharashtra State Seeds Corporation Limited,449000
Saurer Textile Solutions Private Limited,447042
Mahavir Die Casters Pvt. Ltd.,437000
Billroth Hospitals Limited,433000
Paschim Gujarat Vij Company Limited,430675
Nirmal Bang Securities Private Limited,420000
Mohan Overseas Private Limited,420000
Colruyt It Consultancy India Private Limited,419800
Vital Construction Private Limited,415461
K.P.R. Mill Limited,415000
Tnq Books & Journals Private Limited,413850
Ncl Wintech India Limited,408091
Gocl Corporation Limited,407000
Shree Agencies P. Ltd. (Transfrom From Culcutta To Rajasthan,402884
Utkarsh India Limited,400000
Best It World (India) Private Limited,400000
Interocean Shipping (India) Private Limited,400000
Mangalore Electricity Supply Company Limited,400000
Frick India Limited,400000
Panchsheel Investment Company (A Pvt.Co.With Unlimited Liability),400000
Britannia Dairy Private Limited,400000
Ador Powertron Limited,400000
Sua Explosives Andaccessories Private Limited,398000
Diffusion Engineers Limited,393950
Sangam (India) Limited,392000
Tata Autocomp Systems Limited,379000
Intertek India Private Limited,373372
Essen Multipack Limited,370200
Rushil Decor Limited,355401
Harmony Plastics Private Limited,351365
Bry- Air (Asia) Private Limited,350288
Laxmi Publications Private Limited,350000
Ferro Scrap Nigam Limited,350000
The State Trading Corporation Of India Limited,350000
Shalimar Paints Ltd,347000
La Opala R G Limited,347000
Flight Raja Travels Private Limited,345850
Exfo Electro-Optical Engineering India Private Limited,341939
Synechron Technologies Private Limited,341782
Stahl India Private Limited,337340
E.I.D Parry (India) Limited,333000
Mahamaya Steel Industries Limited,330682
Sree Sakthi Paper Mills Limited,325000
Carl Bechem Lubricants (India) Private Limited,324765
Dai-Ichi Karkaria Limited,318000
Tamilnadu Fisheries Development Corporation Limited,317250
Induss Food Products & Equipments Limited,312000
I G Petrochemicals Limited,311000
Silver Touch Technologies Limited,310529
Mafatlal Industries Limited,310000
Tt Electronics Sensing And Control India  Private Limited,308875
Idfc Alternatives Limited,305000
Phoenix Lamps Limited,304895
Omr Bagla Automotive Systems India Limited,300000
Tamilnadu Minerals Limited,300000
Raghu Trading And Investment Company Private Limited,300000
Magnet Labs Private Limited,300000
Pc Solutions Private Limited,300000
Emami Agrotech Limited,300000
Accutest Research Laboratories India Private Limited,300000
International Combustion (India) Ltd,300000
Exide Industries Limited,300000
Deutsche India Holdings Private Limited,300000
Baramati Cattlefeeds Pvt Ltd,300000
Hamilton & Company Limited,300000
Cht (India) Private Limited,300000
Arunachala Logistics Private Limited,300000
Big Bags International Private Limited,300000
Jsw Praxair Oxygen Private Limited,300000
Advanced Enzyme Technologies Limited,300000
Kewaunee Labway India Private Limited,299000
Everest Industries Limited,299000
Green Infra Wind Energy Limited,295132
Marketing Communication & Advertising Limited,294000
Piccadily Holiday Resorts Limited,293928
Tci Finance Limited,285075
Craftsman Automation Private Limited,285000
Zs Associates India Private Limited,284400
L V S Power Private Limited,284000
Liberty Shoes Limited,281858
Gujarat Road And Infrastructure Company Limited,280000
Sambandam Spinning Mills Limited,280000
Avt Mccormick Ingredients Private Limited,278199
Forech India Private Limited,275000
Ruchi Global Limited,275000
Arris Group India Private Limited,272500
Indiana Gratings Private Limited,271000
Sucden India Private Limited,271000
Fedbank Financial Services Limited,258500
Vijay Tanks And Vessels Private Limited,255000
Vinyas Innovative Technologies Private Limited,255000
Petronet Cck Limited,251000
Nosch Labs Private Limited,250000
Unitech Limited,250000
Intas Pharmaceuticals Limited,250000
Allied Nippon Ltd.,250000
Gumpro Drilling Fluids Private Limited,249057
Jindal India Thermal Power Limited,246000
Otsuka Chemical (India) Private Limited,245000
Brijwasi Bullions And Jewellers Private Limited (Transfered From Up),241660
Rajasthan Prime Steel Processing Center Private Limited,240376
Versatile Enterprises Pvt Ltd,240300
Fossil India Private Limited,237702
Intec Capital Limited,235000
Talisma Corporation Private Limited,229600
Emerson Electric Company (India) Private  Limited,228000
Powermaster Engineers Private Limited,227000
Globion India Private Limited,220000
Jetair Private Limited,220000
Betex India Limited (Co Tr From Maha ),218000
Uvj Technologies Private Limited,214780
Deloitte Consulting India Private Limited,209546
Mangala Ispat (Jaipur) Limited,206000
Topsel Pvt Ltd,205309
Exl Service.Com(India) Private Limited,203750
Dickinson Fowler Private Limited,203054
Hardcastle Petrofer Private Limited,200000
Vulkan Technologies Private Limited,200000
Wendt India Limited,200000
Oren Hydrocarbons Private Limited,200000
Astha Projects (India ) Private Limited,200000
Edelweiss Finance & Investments Limited,200000
Nucleus Software Exports Limited,200000
Muthoot Vehicle & Asset Finance Limited,200000
Emerson Process Management (India) Private Limited,200000
Rambagh Palace Hotel Private Limited,200000
Mitsubishi Heavy Industries-Vst Diesel Engines Private Limited,199505
Silver Realties And Infrastructure Private Limited,199000
Sac Engine Components Private Limited,194100
D P Jain And Co Infrastructure Private Limited,192270
Ventura ( India ) Private Limited,192000
Prime Property Development Corporation Limited,188252
Molex (India) Private Limited,187369
Pennar Industries Limited,187000
Vijayawada Tollway Private Limited,184345
Polyhydron Private Limited,180000
Ankur Scientific Energy Technologies Pvt  Ltd,171000
Neelachal Ispat Nigam Ltd,170055
The Ktm Jewellery Limited,167325
Connectwell Industries Private Limited,164000
Rm Education Solutions India Private Limited,163592
Ifb Industries Ltd,160000
Advik Hi-Tech Private Limited,155721
Prima Products Private Limited,155000
Tropical Clothing Company Private Limited,155000
Smartchem Technologies Limited,154220
Barbrik Project Limited,153500
Lg Soft India Private Limited,152813
Hnb Engineers Private Limited,151000
Nandi Roller Flour Mills Private Limited,151000
Sugam Parivahan Private Limited,150000
Sai Consulting Engineers Private Limited,150000
Seco Tools India Private Limited,150000
National Trust Housing Finance Limited,150000
Omni Lens Pvt Ltd,147666
J V Gokal And Company Private Limited,145099
Clifford Chance Business Services Private Limited,143460
Acg Inspection Systems Private Limited,140000
Sri Venkata Sivaparvathi Spinning Mills Private Limited,140000
Transformers And Rectifiers (India) Limited,136000
Creamline Dairy Products Ltd.,132884
Herrenknecht India Private Limited,130180
York Print Private Limited,130000
Intrasoft Technologies Limited,123800
Natural Remedies Private Limited,122931
Niraj Industries Private Limited,120000
Cognizant Global Services Private Limited,119000
T S Alloys Limited,118000
Gupshup Technology India Private Limited,115000
Honda Trading Corporation India Private Limited,109800
Religare Housing Development Finance Corporation Limited,109400
Il&Fs; Milestone Realty Advisors Private Limited,109147
Skipperseil Limited,109000
Sk E&C; India Private Limited,108728
Sharekhan Commodities Private Limited,106486
Elecon Epc Projects Limited.,105000
Zylog Plastalloys Private Limited,102000
Cadila Pharmaceuticals Limited,102000
Strassenburg Pharmaceuticals Ltd.,100000
AJNARA INDIA LIMITED,100000
Electronica Finance Limited,100000
Shree Uttam Steel And Power Limited,100000
Prince Swr Systems Private Limited,100000
Oerlikon Textile India Private Limited,100000
Skyline Foundations And Structures Private Limited,100000
Rrhl Realty Limited,100000
Rmc Gems India Limited,100000
Thakur Savadekar And Company Private Limited,100000
Parker Multi-Commodities (India) Private Limited,100000
Apar Industries Limited,100000
Edelweiss Finvest Private Limited,100000
Escapade Resorts Pvt Ltd,100000
Dhanuka Laboratories Limited,100000
Avendus Capital Private Limited,99000
Smec (India) Private Limited,98000
Wuerth Elektronik India Private Limited,97673
Swiss Re Shared Services (India) Private Limited,97000
Bajaj Electricals Limited,95000
East India Udyog Ltd,92000
Sungard Solutions Software (India) Private Limited,88253
Kriti Industries (India)Limited,87000
Magna Electro Castings Limited,81000
