,name,CIN,NIC,amount
259,Bss Microfinance Private Limited,U74899KA1994PTC049746,74.0,902000
260,Buhler (India) Private Limited,U85110KA1991PTC011695,,11045624
261,Bunge India Private Limited,U15421MH1958PTC174267,,1500030
262,Byramjee Jeejeebhoy Private Limited,U67120MH1965PTC008461,66.0,1571800
263,C L Gupta Exports Limited,U74999DL2004PLC125090,74.0,1000220
264,C M Jain Impex And Investments Private Limited,U51900MH1990PTC056916,51.0,1250565
265,C R I Pumps Private Limited,U29120TZ1996PTC006902,29.0,3904960
266,C.P.Aquaculture (India) Private Limited,U05001TN1994PTC029251,,1675998
267,C.T.R. Manufacturing Industries Limited,U29299MH1964PLC013087,29.0,3779000
268,Cadence Ams Design India Private Limited,U30006KA2005PTC036014,,2500000
269,Cadila Healthcare Limited,L24230GJ1995PLC025878,21.0,108150000
270,Cadila Pharmaceuticals Limited,U24231GJ1991PLC015132,21.0,102000
271,Cairn India Limited,L11101MH2006PLC163934,11.0,330100000
272,Calderys India Refractories Limited,U02692MP2005PLC017865,2.0,0
273,Calsoft Private Limited,U72200PN1998PTC012650,,1337999
274,Cameron Manufacturing (India) Private Limited,U29120TZ2001PTC009632,,1848147
275,Camlin Fine Sciences Limited,L74100MH1993PLC075361,74.0,5176000
276,Camphor And Allied Products Ltd,L17299GJ1972PLC011626,13.0,3900000
277,Capita India Private Limited,U93090MH2006PTC166414,,21000
278,Capital First Limited,L29120MH2005PLC156795,29.0,2500000
279,Caplin Point Laboratories Limited,L24231TN1990PLC019053,21.0,4210000
280,Carclo Technical Plastics Private Limited,U31409KA2007PTC042481,,1428000
281,Cargill Global Trading India Private Limited,U51909DL2002PTC118226,51.0,1482243
282,Carl Bechem Lubricants (India) Private Limited,U23201KA2003PTC032976,,324765
283,Carrier Airconditioning & Refrigeration Limited,U74999HR1992FLC036104,74.0,18133333
284,Cbc Corporation (India) Private Limited,U51496MH2008FTC180663,,0
285,Ccl Products (India) Limited,L15110AP1961PLC000874,10.0,16269000
286,Cd Equifinance Private Limited,U65999WB1985PTC039880,,4000000
287,Ceb India Private Limited,U74140HR2004PTC035324,,996410
288,Cello Writing Instruments And Containers  Private Limited,,,0
289,Centaur Pharmaceuticals Private Limited,U24230MH1980PTC023291,,1500000
290,Centex International Private Limited,U18109DL2010PTC206616,,1993425
291,Centum Electronics Limited,L85110KA1993PLC013869,86.0,3820000
292,Century Enka Limited,L24304PN1965PLC139075,20.0,9413000
293,Centurylink Technologies India Private Limited,U72200KA2003PTC032613,,5363670
294,Cera Sanitaryware Limited,L26910GJ1998PLC034400,26.0,6322000
295,Cerner Healthcare Solutions Private Limited,U72200KA2004PTC033701,,4906474
296,Cesc Ltd,L31901WB1978PLC031411,31.0,142217675
297,Chamundeswari Build-Tech Private Limited,U45202KA1994PTC015820,,0
298,Chandukaka Saraf And Sons Private Limited,U27205PN2006PTC128578,,2286279
299,Chang Yun India Private Limited,U51909DL1992PTC049978,51.0,1460000
300,Chem-Trend Chemicals Company Private Limited,U99999KA2001PTC041703,,2121000
301,Chemfab Alkalis Limited,L24297TN1983PLC072409,24.0,1368765
302,Chennai Container Terminal Private Limited,U28120MH2000PTC128675,28.0,3190000
303,Chennai Metro Rail Limited,U60100TN2007SGC065596,60.0,0
304,Chennai Radha Engineering Works Private Limited,U28113TN2005PTC056452,,3937000
305,Cheviot International Limited,U74899DL1984PLC072383,,1100000
306,Chhattisgarh Rajya Van Vikas Nigam Limited,U01135CT2001SGC014669,,0
307,Chirag Assocaites Private Limited,U45201DL2003PTC120389,,1064000
308,Cholamandalam Investment And Finance Company Limited,L65993TN1978PLC007576,65.0,46143000
309,Chowgule And Company (Salt) Private Limited,U14220GA1996PTC002176,14.0,1118000
310,Chowgule Industries Private Limited,U51109GA1963PTC000010,51.0,1700000
311,Cht (India) Private Limited,U24297MH1996PTC149192,,300000
312,Cibersites India Private Limited,U72200KA2000PTC026214,,2304000
313,Ciena Communications India Private Limited,U74900DL2010PTC198324,,659017
314,Cirex Pharmaceuticals Limited,U24239TG1990PLC012119,,0
315,Citec Engineering India Private Limited,U72200MH2004PTC179939,72.0,1557120
316,Citicorp Finance (India) Limited,U65910MH1997PLC253897,64.0,7400000
317,Citland Commercial Credits Limited,U65993DL1988PLC033155,65.0,0
318,Citrix R&D; India Private Limited,U72300KA2001PTC029871,,3740032
319,City Corporation Limited,U40100GJ1993SGC019988,40.0,8260
320,Clean Science And Technology Private Limited,U24114PN2003PTC018532,20.0,861000
321,Cleartrail Technologies Private Limited,U31200DL2004PTC179210,,4201000
322,Cliantha Research Limited,U73100GJ2004PLC044669,72.0,5000000
323,Clifford Chance Business Services Private Limited,,,143460
324,Clix Capital Services Private Limited,,,6363000
325,Cma Cgm Logistics Park (Dadri) Private Limited,U63000UP2005PTC036441,63.0,1258000
326,Coal India Ltd Govt Of India Undertaking,L23109WB1973GOI028844,19.0,242930000
327,Cochin International Airport Limited,U63033KL1994PLC007803,63.0,6427993
328,Cochin Minerals And Rutile Ltd,L24299KL1989PLC005452,24.0,7401734
329,Cochin Shipyard Limited,U63032KL1972GOI002414,63.0,50644000
330,Coface India Credit Management Services Private Limited,U74140MH2001FTC130702,,945000
331,Cognizant Global Services Private Limited,U72300KA1996PTC036154,63.0,119000
332,Colruyt It Consultancy India Private Limited,U72300TG2007PTC053130,,419800
333,Compucom Software Limited,L72200RJ1995PLC009798,72.0,2245532
334,Computer Sciences Corporation Business Process Services India Private Limited,U67120TN1998PTC102451,,0
335,Comviva Technologies Limited,U72200HR1999PLC041214,72.0,7100000
336,Concordia International (India) Services Private Limited,,,1003302
337,Connectwell Industries Private Limited,U30000MH1997PTC105433,,164000
338,Container Corporation Of India Limited,L63011DL1988GOI030915,52.0,56737000
339,Control Techniques India Private Limited,U30006TN1993PTC025830,30.0,38856
340,Cooper Corporation Private Limited,U27101PN1982PTC026229,,1202787
341,Copal Research India Private Limited,U72900DL2002PTC118236,72.0,3527185
342,Corning Technologies India Private Limited,U29292HR2009FTC039165,29.0,1628468
343,Covidien Healthcare India Private Limited,U51397HR2002FTC040216,,0
344,Craftsman Automation Private Limited,U28991TZ1986PTC001816,28.0,285000
345,Creamline Dairy Products Ltd.,U15201TG1986PLC006912,10.0,132884
346,Credit Information Bureau (India) Limited,U72300MH2000PLC128359,63.0,2981000
347,Credit Suisse Finance (India) Private Limited,U74140MH1991PTC193610,74.0,19090942
348,Credit Suisse Services (India) Private Limited,U93090PN2006PTC133169,,6136580
349,Crescent Power Limited,U70101WB2004PLC099945,68.0,7700000
350,Crest Premedia Solutions Private Limited,U72200PN2006FTC128967,,1115000
351,Crest Steel And Power Private Limited,U27109CT2004PTC016643,,4900000
352,Crossdomain Solutions Private Limited,U70101KA1987PTC008167,68.0,816709
353,Csl Finance Limited,L74899DL1992PLC051462,74.0,1500000
354,Cummins India Limited,L29112PN1962PLC012276,29.0,49250746
355,Cummins Research And Technology India Private Limited,U73100PN2003PTC018025,72.0,14522314
356,Cybele Industries Limited,L31300TN1993PLC025063,31.0,876000
357,Cyberabad Convention Centre Private Limited,U55109TG2003PTC041544,55.0,0
358,Cyient Limited,L72200TG1991PLC013134,72.0,13830000
